,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ahipara,NZ,-35.1667,173.1667,58.95,73,100,14.81,overcast clouds
1,Cervo,ES,43.6702,-7.4101,60.94,70,0,2.84,clear sky
2,Rikitea,PF,-23.1203,-134.9692,70.59,61,77,24.14,broken clouds
3,Gamba,GA,-2.65,10.0,74.46,85,96,4.9,overcast clouds
4,Uvat,RU,59.1433,68.8953,43.11,94,9,4.14,clear sky
5,Ayr,GB,55.4627,-4.6339,58.32,88,75,20.71,light rain
6,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,12.66,broken clouds
7,Bushenyi,UG,-0.5853,30.2114,58.28,97,97,1.9,overcast clouds
8,Sete Lagoas,BR,-19.4658,-44.2467,67.08,90,100,3.0,overcast clouds
9,Hilo,US,19.7297,-155.09,83.25,74,75,9.22,broken clouds
10,Hithadhoo,MV,-0.6,73.0833,82.47,69,100,17.49,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,48.24,83,75,4.43,broken clouds
12,Pangai,TO,-19.8,-174.35,77.52,86,100,9.37,moderate rain
13,Atuona,PF,-9.8,-139.0333,76.84,69,40,20.83,scattered clouds
14,Lerwick,GB,60.1545,-1.1494,53.6,76,100,15.77,overcast clouds
15,Broken Hill,AU,-31.95,141.4333,77.77,38,6,19.01,clear sky
16,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,6.91,few clouds
17,Lebu,CL,-37.6167,-73.65,49.1,93,14,4.81,few clouds
18,Kaitangata,NZ,-46.2817,169.8464,36.88,90,99,19.19,overcast clouds
19,Busselton,AU,-33.65,115.3333,57.58,69,58,17.52,broken clouds
20,Petrolina,BR,-9.3986,-40.5008,77.05,44,0,4.61,clear sky
21,Lagoa,PT,39.05,-27.9833,67.42,86,100,21.47,light rain
22,Korem,ET,12.5058,39.5228,55.06,81,99,2.73,light rain
23,Puerto Ayora,EC,-0.7393,-90.3518,66.54,94,24,5.99,few clouds
24,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,93,100,3.44,overcast clouds
25,Ngunguru,NZ,-35.6167,174.5,62.26,58,100,15.17,overcast clouds
26,Morondava,MG,-20.2833,44.2833,73.51,79,0,6.58,clear sky
27,San Patricio,US,28.017,-97.5169,77.54,58,8,7.52,clear sky
28,Ushuaia,AR,-54.8,-68.3,44.26,81,75,12.66,broken clouds
29,Hermanus,ZA,-34.4187,19.2345,50.81,76,68,4.9,broken clouds
30,Dikson,RU,73.5069,80.5464,32.49,77,100,19.69,overcast clouds
31,Mezen,RU,65.8522,44.24,40.57,98,100,5.21,overcast clouds
32,Durban,ZA,-29.8579,31.0292,68.02,80,63,3.0,broken clouds
