City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cockburn Town,21.4612,-71.1419,82.69,77,99,5.97,TC,2022-10-05 03:14:13
1,Gat,31.61,34.7642,75.4,100,0,1.79,IL,2022-10-05 03:18:51
2,Parvatsar,26.8833,74.7667,82.36,41,0,3.94,IN,2022-10-05 03:18:51
3,Punta Arenas,-53.15,-70.9167,42.91,81,75,13.8,CL,2022-10-05 03:18:52
4,Saint George,37.1041,-113.5841,79.95,29,0,10.36,US,2022-10-05 03:15:11
5,Atambua,-9.1061,124.8925,84.63,61,93,2.86,ID,2022-10-05 03:18:52
6,Taltal,-25.4,-70.4833,54.99,82,4,3.91,CL,2022-10-05 03:18:09
7,Avarua,-21.2078,-159.775,78.85,69,20,18.41,CK,2022-10-05 03:15:22
8,Paso De Los Toros,-32.8167,-56.5167,51.42,90,4,11.05,UY,2022-10-05 03:18:43
9,Agadez,19.75,10.25,81.0,23,0,13.78,NE,2022-10-05 03:18:53
